> ridge1
glmnet 

164960 samples
     9 predictor

Pre-processing: centered (9), scaled (9) 
Resampling: Cross-Validated (10 fold) 
Summary of sample sizes: 148463, 148465, 148464, 148464, 148463, 148465, ... 
Resampling results across tuning parameters:

  lambda        RMSE     Rsquared  MAE    
  1.000000e-02  2279079  0.180104  1292623
  1.123324e-02  2279079  0.180104  1292623
  1.261857e-02  2279079  0.180104  1292623
  1.417474e-02  2279079  0.180104  1292623
  1.592283e-02  2279079  0.180104  1292623
  1.788650e-02  2279079  0.180104  1292623
  2.009233e-02  2279079  0.180104  1292623
  2.257020e-02  2279079  0.180104  1292623
  2.535364e-02  2279079  0.180104  1292623
  2.848036e-02  2279079  0.180104  1292623
  3.199267e-02  2279079  0.180104  1292623
  3.593814e-02  2279079  0.180104  1292623
  4.037017e-02  2279079  0.180104  1292623
  4.534879e-02  2279079  0.180104  1292623
  5.094138e-02  2279079  0.180104  1292623
  5.722368e-02  2279079  0.180104  1292623
  6.428073e-02  2279079  0.180104  1292623
  7.220809e-02  2279079  0.180104  1292623
  8.111308e-02  2279079  0.180104  1292623
  9.111628e-02  2279079  0.180104  1292623
  1.023531e-01  2279079  0.180104  1292623
  1.149757e-01  2279079  0.180104  1292623
  1.291550e-01  2279079  0.180104  1292623
  1.450829e-01  2279079  0.180104  1292623
  1.629751e-01  2279079  0.180104  1292623
  1.830738e-01  2279079  0.180104  1292623
  2.056512e-01  2279079  0.180104  1292623
  2.310130e-01  2279079  0.180104  1292623
  2.595024e-01  2279079  0.180104  1292623
  2.915053e-01  2279079  0.180104  1292623
  3.274549e-01  2279079  0.180104  1292623
  3.678380e-01  2279079  0.180104  1292623
  4.132012e-01  2279079  0.180104  1292623
  4.641589e-01  2279079  0.180104  1292623
  5.214008e-01  2279079  0.180104  1292623
  5.857021e-01  2279079  0.180104  1292623
  6.579332e-01  2279079  0.180104  1292623
  7.390722e-01  2279079  0.180104  1292623
  8.302176e-01  2279079  0.180104  1292623
  9.326033e-01  2279079  0.180104  1292623
  1.047616e+00  2279079  0.180104  1292623
  1.176812e+00  2279079  0.180104  1292623
  1.321941e+00  2279079  0.180104  1292623
  1.484968e+00  2279079  0.180104  1292623
  1.668101e+00  2279079  0.180104  1292623
  1.873817e+00  2279079  0.180104  1292623
  2.104904e+00  2279079  0.180104  1292623
  2.364489e+00  2279079  0.180104  1292623
  2.656088e+00  2279079  0.180104  1292623
  2.983647e+00  2279079  0.180104  1292623
  3.351603e+00  2279079  0.180104  1292623
  3.764936e+00  2279079  0.180104  1292623
  4.229243e+00  2279079  0.180104  1292623
  4.750810e+00  2279079  0.180104  1292623
  5.336699e+00  2279079  0.180104  1292623
  5.994843e+00  2279079  0.180104  1292623
  6.734151e+00  2279079  0.180104  1292623
  7.564633e+00  2279079  0.180104  1292623
  8.497534e+00  2279079  0.180104  1292623
  9.545485e+00  2279079  0.180104  1292623
  1.072267e+01  2279079  0.180104  1292623
  1.204504e+01  2279079  0.180104  1292623
  1.353048e+01  2279079  0.180104  1292623
  1.519911e+01  2279079  0.180104  1292623
  1.707353e+01  2279079  0.180104  1292623
  1.917910e+01  2279079  0.180104  1292623
  2.154435e+01  2279079  0.180104  1292623
  2.420128e+01  2279079  0.180104  1292623
  2.718588e+01  2279079  0.180104  1292623
  3.053856e+01  2279079  0.180104  1292623
  3.430469e+01  2279079  0.180104  1292623
  3.853529e+01  2279079  0.180104  1292623
  4.328761e+01  2279079  0.180104  1292623
  4.862602e+01  2279079  0.180104  1292623
  5.462277e+01  2279079  0.180104  1292623
  6.135907e+01  2279079  0.180104  1292623
  6.892612e+01  2279079  0.180104  1292623
  7.742637e+01  2279079  0.180104  1292623
  8.697490e+01  2279079  0.180104  1292623
  9.770100e+01  2279079  0.180104  1292623
  1.097499e+02  2279079  0.180104  1292623
  1.232847e+02  2279079  0.180104  1292623
  1.384886e+02  2279079  0.180104  1292623
  1.555676e+02  2279079  0.180104  1292623
  1.747528e+02  2279079  0.180104  1292623
  1.963041e+02  2279079  0.180104  1292623
  2.205131e+02  2279079  0.180104  1292623
  2.477076e+02  2279079  0.180104  1292623
  2.782559e+02  2279079  0.180104  1292623
  3.125716e+02  2279079  0.180104  1292623
  3.511192e+02  2279079  0.180104  1292623
  3.944206e+02  2279079  0.180104  1292623
  4.430621e+02  2279079  0.180104  1292623
  4.977024e+02  2279079  0.180104  1292623
  5.590810e+02  2279079  0.180104  1292623
  6.280291e+02  2279079  0.180104  1292623
  7.054802e+02  2279079  0.180104  1292623
  7.924829e+02  2279079  0.180104  1292623
  8.902151e+02  2279079  0.180104  1292623
  1.000000e+03  2279079  0.180104  1292623

Tuning parameter 'alpha' was held constant at a value of 0
RMSE was used to select the optimal model using the smallest value.
The final values used for the model were alpha = 0 and lambda = 1000.
> 
